@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2,3}

@data
504,'2021/11/10 20:10:37:066',3,0.915217,3
505,'2021/11/10 20:10:37:082',3,0.915217,3
506,'2021/11/10 20:10:37:099',3,0.91969,3
507,'2021/11/10 20:10:37:115',3,0.91969,3
508,'2021/11/10 20:10:37:133',3,0.91969,3
509,'2021/11/10 20:10:37:149',3,0.91969,3
510,'2021/11/10 20:10:37:166',3,0.91969,3
511,'2021/11/10 20:10:37:182',3,0.918964,3
512,'2021/11/10 20:10:37:200',3,0.918964,3
513,'2021/11/10 20:10:37:216',3,0.917594,3
514,'2021/11/10 20:10:37:233',3,0.917594,3
515,'2021/11/10 20:10:37:249',3,0.912703,3
516,'2021/11/10 20:10:37:266',3,0.912703,3
517,'2021/11/10 20:10:37:283',3,0.905711,3
518,'2021/11/10 20:10:37:301',3,0.905711,3
519,'2021/11/10 20:10:37:315',3,0.905285,3
520,'2021/11/10 20:10:37:333',3,0.905285,3
521,'2021/11/10 20:10:37:349',3,0.906025,3
522,'2021/11/10 20:10:37:366',3,0.906025,3
523,'2021/11/10 20:10:37:382',3,0.906705,3
524,'2021/11/10 20:10:37:400',3,0.906705,3
525,'2021/11/10 20:10:37:416',3,0.911357,3
526,'2021/11/10 20:10:37:433',3,0.911357,3
527,'2021/11/10 20:10:37:449',3,0.909235,3
528,'2021/11/10 20:10:37:466',3,0.909235,3
529,'2021/11/10 20:10:37:483',3,0.910516,3
530,'2021/11/10 20:10:37:500',3,0.910516,3
531,'2021/11/10 20:10:37:517',3,0.912814,3
532,'2021/11/10 20:10:37:534',3,0.912814,3
533,'2021/11/10 20:10:37:550',3,0.912185,3
534,'2021/11/10 20:10:37:568',3,0.912185,3
535,'2021/11/10 20:10:37:584',3,0.914323,3
536,'2021/11/10 20:10:37:602',3,0.914323,3
537,'2021/11/10 20:10:37:617',3,0.914306,3
538,'2021/11/10 20:10:37:634',3,0.914306,3
539,'2021/11/10 20:10:37:651',3,0.91578,3
540,'2021/11/10 20:10:37:668',3,0.91578,3
541,'2021/11/10 20:10:37:683',3,0.914103,3
542,'2021/11/10 20:10:37:701',3,0.914103,3
543,'2021/11/10 20:10:37:717',3,0.91321,3
544,'2021/11/10 20:10:37:734',3,0.91321,3
545,'2021/11/10 20:10:37:750',3,0.915072,3
546,'2021/11/10 20:10:37:768',3,0.915072,3
547,'2021/11/10 20:10:37:784',3,0.915623,3
548,'2021/11/10 20:10:37:801',3,0.915623,3
549,'2021/11/10 20:10:37:817',3,0.914173,3
550,'2021/11/10 20:10:37:835',3,0.914173,3
551,'2021/11/10 20:10:37:851',3,0.917854,3
552,'2021/11/10 20:10:37:869',3,0.917854,3
553,'2021/11/10 20:10:37:884',3,0.921751,3
554,'2021/11/10 20:10:37:901',3,0.921751,3
555,'2021/11/10 20:10:37:918',3,0.925587,3
556,'2021/11/10 20:10:37:936',3,0.925587,3
557,'2021/11/10 20:10:37:952',3,0.929309,3
558,'2021/11/10 20:10:37:968',3,0.929309,3
559,'2021/11/10 20:10:37:985',3,0.931007,3
560,'2021/11/10 20:10:38:002',3,0.931007,3
561,'2021/11/10 20:10:38:019',3,0.932563,3
562,'2021/11/10 20:10:38:035',3,0.932563,3
563,'2021/11/10 20:10:38:051',3,0.931457,3
564,'2021/11/10 20:10:38:068',3,0.931457,3
565,'2021/11/10 20:10:38:085',3,0.930159,3
566,'2021/11/10 20:10:38:101',3,0.930159,3
567,'2021/11/10 20:10:38:118',3,0.928344,3
568,'2021/11/10 20:10:38:135',3,0.928344,3
569,'2021/11/10 20:10:38:152',3,0.927719,3
570,'2021/11/10 20:10:38:169',3,0.927719,3
571,'2021/11/10 20:10:38:186',3,0.928216,3
572,'2021/11/10 20:10:38:202',3,0.928216,3
573,'2021/11/10 20:10:38:219',3,0.930111,3
574,'2021/11/10 20:10:38:237',3,0.930111,3
575,'2021/11/10 20:10:38:253',3,0.932599,3
576,'2021/11/10 20:10:38:270',3,0.932599,3
577,'2021/11/10 20:10:38:288',3,0.934169,3
578,'2021/11/10 20:10:38:304',3,0.934169,3
579,'2021/11/10 20:10:38:320',3,0.932371,3
580,'2021/11/10 20:10:38:338',3,0.932371,3
581,'2021/11/10 20:10:38:354',3,0.928867,3
582,'2021/11/10 20:10:38:371',3,0.928867,3
583,'2021/11/10 20:10:38:387',3,0.927357,3
584,'2021/11/10 20:10:38:405',3,0.927357,3
585,'2021/11/10 20:10:38:421',3,0.920375,3
586,'2021/11/10 20:10:38:438',3,0.920375,3
587,'2021/11/10 20:10:38:438',3,0.920375,3
588,'2021/11/10 20:10:38:454',3,0.917071,3
589,'2021/11/10 20:10:38:471',3,0.917071,3
590,'2021/11/10 20:10:38:487',3,0.917193,3
591,'2021/11/10 20:10:38:505',3,0.917193,3
592,'2021/11/10 20:10:38:521',3,0.918511,3
593,'2021/11/10 20:10:38:538',3,0.918511,3
594,'2021/11/10 20:10:38:554',3,0.919864,3
595,'2021/11/10 20:10:38:571',3,0.919864,3
596,'2021/11/10 20:10:38:587',3,0.922255,3
597,'2021/11/10 20:10:38:605',3,0.922255,3
598,'2021/11/10 20:10:38:621',3,0.923574,3
599,'2021/11/10 20:10:38:639',3,0.923574,3
600,'2021/11/10 20:10:38:654',3,0.925751,3
601,'2021/11/10 20:10:38:671',3,0.925751,3
602,'2021/11/10 20:10:38:688',3,0.927096,3
603,'2021/11/10 20:10:38:706',3,0.927096,3
604,'2021/11/10 20:10:38:721',3,0.928347,3
605,'2021/11/10 20:10:38:739',3,0.928347,3
606,'2021/11/10 20:10:38:755',3,0.929916,3
607,'2021/11/10 20:10:38:772',3,0.929916,3
608,'2021/11/10 20:10:38:788',3,0.930796,3
609,'2021/11/10 20:10:38:805',3,0.930796,3
610,'2021/11/10 20:10:38:822',3,0.931637,3
611,'2021/11/10 20:10:38:839',3,0.931637,3
612,'2021/11/10 20:10:38:854',3,0.932194,3
613,'2021/11/10 20:10:38:872',3,0.932194,3
614,'2021/11/10 20:10:38:888',3,0.931992,3
615,'2021/11/10 20:10:38:905',3,0.931992,3
616,'2021/11/10 20:10:38:921',3,0.931545,3
617,'2021/11/10 20:10:38:940',3,0.931545,3
618,'2021/11/10 20:10:38:955',3,0.929511,3
619,'2021/11/10 20:10:38:973',3,0.927037,3
620,'2021/11/10 20:10:38:989',3,0.927037,3
621,'2021/11/10 20:10:39:006',3,0.927037,3
622,'2021/11/10 20:10:39:021',3,0.927293,3
623,'2021/11/10 20:10:39:039',3,0.927293,3
624,'2021/11/10 20:10:39:055',3,0.926566,3
625,'2021/11/10 20:10:39:073',3,0.926566,3
626,'2021/11/10 20:10:39:089',3,0.925875,3
627,'2021/11/10 20:10:39:106',3,0.925875,3
628,'2021/11/10 20:10:39:122',3,0.925382,3
629,'2021/11/10 20:10:39:140',3,0.925382,3
630,'2021/11/10 20:10:39:155',3,0.923135,3
631,'2021/11/10 20:10:39:172',3,0.923135,3
632,'2021/11/10 20:10:39:188',3,0.922063,3
633,'2021/11/10 20:10:39:205',3,0.922063,3
634,'2021/11/10 20:10:39:222',3,0.921979,3
635,'2021/11/10 20:10:39:238',3,0.921979,3
636,'2021/11/10 20:10:39:255',3,0.92215,3
637,'2021/11/10 20:10:39:272',3,0.92215,3
638,'2021/11/10 20:10:39:289',3,0.922595,3
639,'2021/11/10 20:10:39:307',3,0.922595,3
640,'2021/11/10 20:10:39:323',3,0.922051,3
641,'2021/11/10 20:10:39:339',3,0.922051,3
642,'2021/11/10 20:10:39:355',3,0.92566,3
643,'2021/11/10 20:10:39:373',3,0.92566,3
644,'2021/11/10 20:10:39:389',3,0.928555,3
645,'2021/11/10 20:10:39:406',3,0.928555,3
646,'2021/11/10 20:10:39:422',3,0.93152,3
647,'2021/11/10 20:10:39:440',3,0.93152,3
648,'2021/11/10 20:10:39:455',3,0.935692,3
649,'2021/11/10 20:10:39:473',3,0.935692,3
650,'2021/11/10 20:10:39:489',3,0.937689,3
651,'2021/11/10 20:10:39:507',3,0.941748,3
652,'2021/11/10 20:10:39:523',3,0.941748,3
653,'2021/11/10 20:10:39:540',3,0.941748,3
654,'2021/11/10 20:10:39:555',3,0.946133,3
655,'2021/11/10 20:10:39:573',3,0.946133,3
656,'2021/11/10 20:10:39:589',3,0.948567,3
657,'2021/11/10 20:10:39:606',3,0.949645,3
658,'2021/11/10 20:10:39:622',3,0.949645,3
659,'2021/11/10 20:10:39:639',3,0.949645,3
660,'2021/11/10 20:10:39:656',3,0.948386,3
661,'2021/11/10 20:10:39:673',3,0.948386,3
662,'2021/11/10 20:10:39:689',3,0.947676,3
663,'2021/11/10 20:10:39:708',3,0.94653,3
664,'2021/11/10 20:10:39:723',3,0.94653,3
665,'2021/11/10 20:10:39:740',3,0.945066,3
666,'2021/11/10 20:10:39:756',3,0.945066,3
667,'2021/11/10 20:10:39:773',3,0.9442,3
668,'2021/11/10 20:10:39:789',3,0.9442,3
669,'2021/11/10 20:10:39:806',3,0.943835,3
